date,ticker,close,volume
2023-01-02,AAPL,100,1000000
2023-01-03,AAPL,101,1100000
2023-01-04,AAPL,100,1200000
2023-01-05,AAPL,90,2000000
2023-01-06,AAPL,93,1800000
2023-01-09,AAPL,96,1600000
2023-01-10,AAPL,97,1500000
2023-01-11,AAPL,98,1400000
2023-01-12,AAPL,99,1300000
2023-01-13,AAPL,100,1200000
2023-01-16,AAPL,100,1150000
2023-01-17,AAPL,90,2100000
2023-01-18,AAPL,89,1900000
2023-01-19,AAPL,88,1800000
2023-01-20,AAPL,87,1700000
2023-01-23,AAPL,86,1600000
2023-01-24,AAPL,85,1550000
2023-01-25,AAPL,84,1500000
2023-01-02,MSFT,200,900000
2023-01-03,MSFT,201,950000
2023-01-04,MSFT,200,980000
2023-01-05,MSFT,187,1500000
2023-01-06,MSFT,189,1400000
2023-01-09,MSFT,193,1300000
2023-01-10,MSFT,195,1250000
2023-01-11,MSFT,196,1200000
2023-01-12,MSFT,197,1150000
2023-01-13,MSFT,198,1100000
2023-01-16,MSFT,198,1050000
2023-01-17,MSFT,180,1800000
2023-01-18,MSFT,178,1700000
2023-01-19,MSFT,175,1600000
2023-01-20,MSFT,173,1500000
2023-01-23,MSFT,171,1450000
2023-01-24,MSFT,170,1400000
2023-01-25,MSFT,168,1350000
2023-01-02,SPY,400,3000000
2023-01-03,SPY,401,3100000
2023-01-04,SPY,400,3200000
2023-01-05,SPY,398,3300000
2023-01-06,SPY,399,3400000
2023-01-09,SPY,398,3500000
2023-01-10,SPY,396,3600000
2023-01-11,SPY,394,3700000
2023-01-12,SPY,396,3800000
2023-01-13,SPY,398,3600000
2023-01-16,SPY,397,3500000
2023-01-17,SPY,395,3400000
2023-01-18,SPY,393,3300000
2023-01-19,SPY,394,3200000
2023-01-20,SPY,396,3100000
2023-01-23,SPY,398,3000000
2023-01-24,SPY,399,3100000
2023-01-25,SPY,400,3200000
